id,71,2019,1,3,22,0,0,-1.16E+11,-7.02E+10,-5.69E+10
id,72,2019,1,3,23,0,0,-1.30E+11,-3.77E+10,-5.69E+10
id,73,2019,1,4,0,0,0,-1.36E+11,-2.74E+09,-5.69E+10
id,74,2019,1,4,1,0,0,-1.32E+11,3.24E+10,-5.69E+10
id,75,2019,1,4,2,0,0,-1.19E+11,6.54E+10,-5.69E+10
id,76,2019,1,4,3,0,0,-9.79E+10,9.39E+10,-5.69E+10
id,77,2019,1,4,4,0,0,-7.02E+10,1.16E+11,-5.69E+10
id,78,2019,1,4,5,0,0,-3.78E+10,1.30E+11,-5.69E+10
id,79,2019,1,4,6,0,0,-2.81E+09,1.36E+11,-5.69E+10
id,80,2019,1,4,7,0,0,3.24E+10,1.32E+11,-5.69E+10
id,81,2019,1,4,8,0,0,6.54E+10,1.19E+11,-5.68E+10
id,82,2019,1,4,9,0,0,9.39E+10,9.79E+10,-5.68E+10
id,83,2019,1,4,10,0,0,1.16E+11,7.03E+10,-5.68E+10
id,84,2019,1,4,11,0,0,1.30E+11,3.79E+10,-5.68E+10
id,85,2019,1,4,12,0,0,1.36E+11,2.87E+09,-5.68E+10
id,86,2019,1,4,13,0,0,1.32E+11,-3.23E+10,-5.68E+10
id,87,2019,1,4,14,0,0,1.19E+11,-6.53E+10,-5.68E+10
id,88,2019,1,4,15,0,0,9.80E+10,-9.39E+10,-5.68E+10
id,89,2019,1,4,16,0,0,7.04E+10,-1.16E+11,-5.68E+10
id,90,2019,1,4,17,0,0,3.79E+10,-1.30E+11,-5.68E+10
id,91,2019,1,4,18,0,0,2.94E+09,-1.36E+11,-5.67E+10
id,92,2019,1,4,19,0,0,-3.23E+10,-1.32E+11,-5.67E+10
id,93,2019,1,4,20,0,0,-6.53E+10,-1.19E+11,-5.67E+10
id,94,2019,1,4,21,0,0,-9.38E+10,-9.81E+10,-5.67E+10
id,95,2019,1,4,22,0,0,-1.16E+11,-7.04E+10,-5.67E+10
id,96,2019,1,4,23,0,0,-1.30E+11,-3.80E+10,-5.67E+10
id,97,2019,1,5,0,0,0,-1.36E+11,-3.01E+09,-5.67E+10
id,98,2019,1,5,1,0,0,-1.32E+11,3.22E+10,-5.67E+10
id,99,2019,1,5,2,0,0,-1.19E+11,6.52E+10,-5.67E+10
id,100,2019,1,5,3,0,0,-9.81E+10,9.38E+10,-5.66E+10
id,101,2019,1,5,4,0,0,-7.05E+10,1.16E+11,-5.66E+10
id,102,2019,1,5,5,0,0,-3.81E+10,1.30E+11,-5.66E+10
